Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
JPMorgan Chase,551.03,440.82,512.46,45707.94
Bank of America,288.96,231.17,268.73,23969.23
Industrial and Commercial Bank of China,249.28,199.42,231.83,20677.78
Wells Fargo,208.41,166.73,193.82,17287.61
Agricultural Bank of China,207.79,166.23,193.24,17236.18
Bank of China,171.35,137.08,159.36,14213.48
China Construction Bank,166.19,132.95,154.56,13785.46
HSBC,161.05,128.84,149.78,13359.1
Morgan Stanley,155.58,124.46,144.69,12905.36
HDFC Bank,153.01,122.41,142.3,12692.18
